,,당첨자수,당첨금액,1,2,3,4,5,6,보너스
1111,2024.03.16,16,"1,714,662,540",3,13,30,33,43,45,4
1110,2024.03.09,16,"1,647,392,719",3,7,11,20,22,41,24
1109,2024.03.02,17,"1,584,352,875",10,12,13,19,33,40,2
1108,2024.02.24,14,"1,957,990,849",7,19,26,37,39,44,27
1107,2024.02.17,14,"2,025,625,233",6,14,30,31,40,41,29
1106,2024.02.10,11,"2,790,462,819",1,3,4,29,42,45,36
1105,2024.02.03,15,"1,834,853,800",6,16,34,37,39,40,11
1104,2024.01.27,15,"1,817,193,100",1,7,21,30,35,38,2
1103,2024.01.20,17,"1,574,419,633",10,12,29,31,40,44,2
1102,2024.01.13,20,"1,383,591,413",13,14,22,26,37,38,20
1101,2024.01.06,13,"2,100,529,500",6,7,13,28,36,42,41
1100,2023.12.30,13,"2,207,575,472",17,26,29,30,31,43,12
1099,2023.12.23,9,"2,959,934,125",3,20,28,38,40,43,4
1098,2023.12.16,13,"1,930,461,895",12,16,21,24,41,43,15
1097,2023.12.09,7,"3,864,293,090",14,33,34,35,37,40,4
1096,2023.12.02,10,"2,539,391,175",1,12,16,19,23,43,34
1095,2023.11.25,10,"2,617,825,575",8,14,28,29,34,40,12
1094,2023.11.18,12,"2,112,854,469",6,7,15,22,26,40,41
1093,2023.11.11,13,"1,967,040,750",10,17,22,30,35,43,44
1092,2023.11.04,16,"1,583,289,844",7,18,19,26,33,45,37
1091,2023.10.28,9,"2,898,470,459",6,20,23,24,28,30,44
1090,2023.10.21,11,"2,386,494,614",12,19,21,29,40,45,1
1089,2023.10.14,9,"2,978,522,167",4,18,31,37,42,43,40
1088,2023.10.07,11,"2,434,697,898",11,21,22,30,39,44,31
1087,2023.09.30,16,"1,732,253,602",13,14,18,21,34,44,16
1086,2023.09.23,17,"1,515,913,809",11,16,25,27,35,36,37
1085,2023.09.16,23,"1,073,277,473",4,7,17,18,38,44,36
1084,2023.09.09,15,"1,738,764,600",8,12,13,29,33,42,5
1083,2023.09.02,15,"1,713,084,525",3,7,14,15,22,38,17
1082,2023.08.26,7,"3,720,489,643",21,26,27,32,34,42,31
1081,2023.08.19,11,"2,343,892,944",1,9,16,23,24,38,17
1080,2023.08.12,7,"3,639,444,429",13,16,23,31,36,44,38
1079,2023.08.05,9,"2,712,329,417",4,8,18,24,37,45,6
1078,2023.07.29,12,"2,141,604,938",6,10,11,14,36,38,43
1077,2023.07.22,7,"3,570,901,018",4,8,17,30,40,43,34
1076,2023.07.15,9,"2,672,689,750",3,7,9,33,36,37,10
1075,2023.07.08,9,"2,896,337,167",1,23,24,35,44,45,10
1074,2023.07.01,12,"2,134,763,657",1,6,20,27,28,41,15
1073,2023.06.24,11,"2,345,227,603",6,18,28,30,32,38,15
1072,2023.06.17,12,"2,175,006,375",16,18,20,23,32,43,27
1071,2023.06.10,5,"5,183,979,750",1,2,11,21,30,35,39
1070,2023.06.03,14,"1,859,116,929",3,6,14,22,30,41,36
1069,2023.05.27,14,"1,863,217,554",1,10,18,22,28,31,44
1068,2023.05.20,19,"1,363,929,514",4,7,19,26,33,35,3
1067,2023.05.13,13,"1,981,114,010",7,10,19,23,28,33,18
1066,2023.05.06,15,"1,670,947,250",6,11,16,19,21,32,45
1065,2023.04.29,14,"1,852,593,938",3,18,19,23,32,45,24
1064,2023.04.22,19,"1,348,168,106",3,6,9,18,22,35,14
1063,2023.04.15,7,"3,770,311,875",3,6,22,23,24,38,30
1062,2023.04.08,7,"3,801,933,804",20,31,32,40,41,45,12
1061,2023.04.01,11,"2,422,768,773",4,24,27,35,37,45,15
1060,2023.03.25,28,"898,238,907",3,10,24,33,38,45,36
1059,2023.03.18,13,"2,033,168,481",7,10,22,25,34,40,27
1058,2023.03.11,13,"2,058,020,250",11,23,25,30,32,40,42
1057,2023.03.04,17,"1,616,069,714",8,13,19,27,40,45,12
1056,2023.02.25,14,"1,969,662,456",13,20,24,32,36,45,29
1055,2023.02.18,11,"2,362,815,205",4,7,12,14,22,33,31
1054,2023.02.11,9,"3,147,925,709",14,19,27,28,30,45,33
1053,2023.02.04,7,"4,090,367,411",22,26,29,30,34,45,15
1052,2023.01.28,11,"2,341,682,762",5,17,26,27,35,38,1
1051,2023.01.21,18,"1,669,558,480",21,26,30,32,33,35,44
1050,2023.01.14,17,"1,535,083,280",6,12,31,35,38,43,17
1049,2023.01.07,15,"1,727,810,100",3,5,13,20,21,37,17
1048,2022.12.31,17,"1,612,494,508",6,12,17,21,32,39,30
1047,2022.12.24,9,"2,748,797,875",2,20,33,40,42,44,32
1046,2022.12.17,12,"2,011,415,719",7,16,25,29,35,36,28
1045,2022.12.10,13,"1,990,060,443",6,14,15,19,21,41,37
1044,2022.12.03,8,"3,136,941,235",12,17,20,26,28,36,4
1043,2022.11.26,17,"1,468,646,956",3,5,12,22,26,31,19
1042,2022.11.19,20,"1,240,663,669",5,14,15,23,34,43,4
1041,2022.11.12,25,"935,091,165",6,7,9,11,17,18,45
1040,2022.11.05,7,"3,660,482,625",8,16,26,29,31,36,11
1039,2022.10.29,16,"1,585,019,672",2,3,6,19,36,39,26
1038,2022.10.22,15,"1,627,457,225",7,16,24,27,37,44,2
1037,2022.10.15,15,"1,708,576,825",2,14,15,22,27,33,31
1036,2022.10.08,9,"2,837,323,167",2,5,22,32,34,45,39
1035,2022.10.01,8,"3,231,193,735",9,14,34,35,41,42,2
1034,2022.09.24,9,"2,868,856,209",26,31,32,33,38,40,11
1033,2022.09.17,13,"1,913,414,943",3,11,15,20,35,44,10
1032,2022.09.10,10,"2,675,257,538",1,6,12,19,36,42,28
1031,2022.09.03,8,"3,213,957,563",6,7,22,32,35,36,19
1030,2022.08.27,19,"1,276,406,507",2,5,11,17,24,29,9
1029,2022.08.20,10,"2,527,848,450",12,30,32,37,39,41,24
1028,2022.08.13,20,"1,181,235,132",5,7,12,13,18,35,23
1027,2022.08.06,10,"2,460,504,338",14,16,27,35,39,45,5
1026,2022.07.30,15,"1,619,118,475",5,12,13,31,32,41,34
1025,2022.07.23,4,"6,118,853,344",8,9,20,25,29,33,7
1024,2022.07.16,8,"3,020,323,500",9,18,20,22,38,44,10
1023,2022.07.09,9,"2,745,677,875",10,14,16,18,29,35,25
1022,2022.07.02,5,"4,866,468,075",5,6,11,29,42,45,28
1021,2022.06.25,12,"2,108,962,250",12,15,17,24,29,45,16
1020,2022.06.18,13,"1,966,431,520",12,27,29,38,41,45,6
1019,2022.06.11,50,"438,565,140",1,4,13,17,34,39,6
1018,2022.06.04,2,"12,361,744,688",3,19,21,25,37,45,35
1017,2022.05.28,7,"3,517,684,822",12,18,22,23,30,34,32
1016,2022.05.21,11,"2,260,660,671",15,26,28,34,41,42,44
1015,2022.05.14,8,"3,051,105,610",14,23,31,33,37,40,44
1014,2022.05.07,10,"2,410,449,338",3,11,14,18,26,27,21
1013,2022.04.30,5,"5,047,570,725",21,22,26,34,36,41,32
1012,2022.04.23,13,"1,861,944,318",5,11,18,20,35,45,3
1011,2022.04.16,11,"2,220,348,512",1,9,12,26,35,38,42
1010,2022.04.09,8,"3,119,380,079",9,12,15,25,34,36,3
1009,2022.04.02,15,"1,702,462,825",15,23,29,34,40,44,20
1008,2022.03.26,11,"2,267,377,910",9,11,30,31,41,44,33
1007,2022.03.19,9,"2,718,786,375",8,11,16,19,21,25,40
1006,2022.03.12,9,"2,855,602,125",8,11,15,16,17,37,36
1005,2022.03.05,12,"2,061,199,344",8,13,18,24,27,29,17
1004,2022.02.26,10,"2,576,251,913",7,15,30,37,39,44,18
1003,2022.02.19,14,"1,811,116,822",1,4,29,39,43,45,31
1002,2022.02.12,8,"3,088,449,563",17,25,33,35,38,45,15
1001,2022.02.05,12,"2,077,279,594",6,10,12,14,20,42,15
